id,name,type,distanceToArrival,gravity,earthMasses,radius,surfaceTemperature,surfacePressure,atmosphereType,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,updateTime,planetId
776e4da1cf,LHS 476 1 a,Icy body,294,0.24057269113912644,0.088924,3877.67,150,5.869388107574636,Thick Methane,14.09315193693287,0.001931162636039779,0,50.451537,135.293944,14.499053187627315,false,0.213377,2020-09-08 07:42:30,661ee29737
44fa17263b,Caucan 3 a,Rocky body,1037,0.08888062534692352,0.001173,732.706375,169,0.013893653234641007,Thin Carbon dioxide,41.81692859641203,0.0016443078533863783,0,3.957832,210.254529,42.035718668020834,true,0.081698,2020-09-05 16:15:03,e0cf0cebbf
d76f1ec51e,Caucan 7 a,Icy body,3129,0.1265632215065097,0.014402,2151.504,74,0,No atmosphere,514.7290312581597,0.01278397141735387,0,-50.037969,245.726816,1.227419461701389,false,0.366997,2020-09-05 16:14:45,1124013e75
f23f832475,Jastreb Sector PT-R b4-7 2 a,Icy body,612,0.0670567570588665,0.002245,1167.0015,41,null,No atmosphere,24.75331433945602,0.001245696516327488,null,46.800033,282.394451,24.953996954803245,true,0.081634,2020-08-30 06:30:26,41920b9a0d
504012fa03,Jastreb Sector PT-R b4-7 8 a,Icy body,5042,0.10699563160969099,0.008835,1832.7565,20,null,No atmosphere,1475.2610414116898,0.0214560224287437,null,77.156443,247.386306,1.9866772617939814,false,0.259439,2020-08-30 06:31:00,ba18060586
fd7e92378b,V816 Herculis 1 a,Icy body,1051,0.0874291524013736,0.00458,1459.78575,73,null,No atmosphere,4.105913280335648,0.004484431350213998,0.000276,-0.11186,128.343916,4.106049556423611,true,0.522047,2020-09-06 22:03:56,9cc58404a3
ff78cedda8,V816 Herculis 1 b,Icy body,1054,0.08975505565571204,0.004947,1497.35925,124,0.3846278605378732,Methane,11.382133872418981,0.008849457438454705,0.006112,0.000012,4.343785,11.382511873333334,true,0.362679,2020-09-06 22:02:58,9cc58404a3
acc404d398,V816 Herculis 1 c,Icy body,1049,0.06659086612527938,0.002057,1120.970875,115,0.21178615763138417,Methane,23.647815816932873,0.01440881477023456,0.000327,0.026093,356.106512,23.64860175238426,true,-0.0723,2020-09-06 22:04:00,9cc58404a3
51e4a12d72,V816 Herculis 3 a,Icy body,1356,0.1253967329243738,0.013112,2062.414125,203,75.20766345916606,Thick Methane,1.3348588512962962,0.0016155232212238298,0.000246,-0.000514,122.413256,1.3349861841782407,false,0.270075,2020-09-06 22:02:29,a11477ddc0
74faab808d,V816 Herculis 3 b,Icy body,1360,0.07315942229508554,0.002714,1228.441,139,3.8127072538860105,Methane,2.389217347453704,0.0023815522211117273,0.000081,0.011102,101.41164,2.3894449484953704,true,0.017605,2020-09-06 22:02:34,a11477ddc0
94028e602b,V816 Herculis 3 c,Icy body,1357,0.06786024492146898,0.002173,1141.318,128,1.974599216629657,Methane,4.878672115775463,0.003833164001730608,0.006814,0.069983,11.09374,4.879137952939815,true,-0.000979,2020-09-06 22:02:36,a11477ddc0
13ea844cee,V816 Herculis 4 a,Icy body,1350,0.08984940080718393,0.004894,1488.5345,145,5.300362077473476,Thick Methane,0.800689627175926,0.001000000721212939,0.00093,-0.051634,341.592145,0.8007280523032406,true,-0.367545,2020-09-06 22:02:43,d00a5861ef
77b2574e2c,V816 Herculis 4 b,Icy body,1350,0.0477198876325087,0.000768,809.124625,158,10.882776955341722,Thick Methane,1.1578031850115742,0.0012787353311911813,0.000073,-0.026794,212.878907,1.1578586918518519,false,-0.158163,2020-09-06 22:02:45,d00a5861ef
f386e3265b,Guangul 2 a,Rocky body,370,0.3250063568984057,0.050659,2518.06475,290,null,No atmosphere,10.133413459965277,0.0013791457648206352,null,22.283397,108.337619,10.36746959994213,false,0.294498,2020-09-06 20:45:08,526191666b
fece92256d,Guangul 3 a,Rocky body,803,0.18170890039613494,0.009561,1463.012625,196,null,No atmosphere,65.47787054269676,0.0044420326002920845,null,48.729947,150.768056,65.82529978564814,false,-0.145713,2020-09-07 19:27:20,df9c492e40
a4495b5d90,Macmillian's Hole,Rocky body,489,0.08689327154858426,0.001,684.2131875,217,0,No atmosphere,1.5399998950694445,0.0023000016667584157,0,1.2,265.785876,23.178647240069445,false,0.251141,2020-09-08 12:57:30,2245888f0d
d43e3ff805,Vega 2 d a,Rocky body,1802,0.09788074288985367,0.001826,871.136625,380,null,No atmosphere,0.829703864398148,0.00010192450081080599,null,88.396769,113.088084,0.8410171428009259,true,0.39388,2020-09-04 22:20:34,41715b5b90
8bf643a5c3,Trikora,Rocky body,3745,0.22398625541597347,0.016,1704.6445,235,null,No atmosphere,451.1471906745833,0.02000001362739383,0.023897,2.83523,345.708891,1.7839781013773148,false,0.28805,2020-09-04 13:31:07,bc78f105c2
cf4063e8a5,G 203-47 6 a,Icy body,1604,0.14166098591692491,0.018521,2306.1715,99,0,No atmosphere,1.3874188341435185,0.004478922663129456,0.002704,0.032977,358.206686,1.3874333650347221,true,-0.732199,2020-09-06 16:39:28,2430ad5f16
c6dca0176c,G 203-47 6 b,Icy body,1604,0.10711510992936171,0.008271,1772.30375,88,0,No atmosphere,2.1936662357175924,0.006078767368587954,0.008633,-1.264888,175.432856,2.1936890816666668,true,0.013794,2020-09-06 16:39:28,2430ad5f16
ad264feb6f,G 203-47 7 a,Icy body,1572,0.03472853016726108,0.000298,590.8121875,37,0,No atmosphere,2.4788562484375003,0.002272571983797561,0.00128,0.462667,28.140448,2.4788620213657406,true,0.338578,2020-09-06 16:39:28,74c6ae20ce
3b8822c2e9,G 203-47 9 a,Icy body,2307,0.07941924935808287,0.003445,1328.361375,24,0,No atmosphere,1.3769792599768518,0.0021696127778437022,0.003319,-0.885224,273.395885,1.3769938708912037,false,-0.38324,2020-09-06 16:39:28,0d1ef42405
f11e3e98e8,Pulag,Rocky body,61,0.09241671779209108,0.0012,726.7748125,234,null,No atmosphere,14.805029387824074,0.0012000008973300847,0.000556,5.125361,89.342757,14.830460584930554,true,0.460588,2020-09-08 16:13:29,7d49d78fa3
462c20c05c,V374 Pegasi A 3 a,Icy body,3062,0.03603272868971765,0.000333,613.13775,32,null,No atmosphere,3.355755367210648,0.005000732697588255,0.001221,-0.003289,193.712242,3.3557880060879626,false,0.086934,2020-08-24 22:58:07,6b5e316c56
cfab56ea56,V374 Pegasi A 3 b,Icy body,3062,0.03153423831729415,0.000224,537.548125,30,null,No atmosphere,5.466548863935185,0.006923338200095117,0.000027,-0.001752,51.111743,5.4666015365972225,true,-0.198702,2020-08-24 22:58:07,6b5e316c56
7ca389651d,V374 Pegasi A 3 c,Icy body,3060,0.04440270484959678,0.000618,752.44375,27,null,No atmosphere,12.714587565925925,0.012153692732835134,0.000569,-0.077599,67.553802,-12.714710790439815,false,2.611524,2020-08-24 22:58:07,6b5e316c56
8aa05c0e41,V374 Pegasi A 3 d,Icy body,3054,0.03425551935478169,0.000287,583.79475,26,null,No atmosphere,18.634556758182867,0.01568144583752889,0.000367,0.002535,26.125416,18.634736817465278,false,0.506003,2020-08-24 22:58:07,6b5e316c56
0f8a761fb8,V374 Pegasi A 3 g,Icy body,3051,0.04818668119868965,0.000789,816.1303125,24,null,No atmosphere,52.0979958,0.0311210388006786,0.002008,1.577234,338.717332,52.098500416296304,false,0.433889,2020-08-24 22:58:07,6b5e316c56
7f7199a094,V374 Pegasi A 3 h,Icy body,3058,0.07035835493016251,0.002409,1180.171375,23,null,No atmosphere,86.57717525407408,0.043662540171802725,0.001971,5.84778,96.496428,86.57801497804398,false,0.512934,2020-08-24 22:58:07,6b5e316c56
4c6825c0f5,V374 Pegasi A 3 i,Icy body,3069,0.0649959786585481,0.001912,1093.919125,23,null,No atmosphere,134.37340794890045,0.05853050450259784,0.001799,-7.421252,161.196832,134.37470280030092,false,0.354944,2020-08-24 22:58:07,6b5e316c56
