id,name,type,distanceToArrival,gravity,earthMasses,radius,surfaceTemperature,surfacePressure,atmosphereType,terraformingState,orbitalPeriod,semiMajorAxis,orbitalEccentricity,orbitalInclination,argOfPeriapsis,rotationalPeriod,rotationalPeriodTidallyLocked,axialTilt,updateTime,starId
c65316d4d8,LFT 1454 D 1,Class I gas giant,187860,1.7655882466420334,21.569344,22292.474,68,null,No atmosphere,Not terraformable,103.90663795449075,0.16807525882846006,0.789973,-27.278099,195.212943,103.96405320145834,false,0.434239,2020-09-07 14:42:01,66deb7acf5
661ee29737,LHS 476 1,Icy body,295,0.8091600718523719,1.521834,8746.835,70,0.3790182812139156,Helium,Not terraformable,354.47526585172454,0.5906828550223342,0.000077,0.118939,341.88377,3.243033870752315,false,-2.131437,2020-09-08 07:42:35,24dd5155af
c23e64b248,LHS 476 2,Icy body,522,0.5765449152278921,0.676916,6910.9115,73,1154.0829607698001,Thick Nitrogen,Not terraformable,834.9125032071759,1.0456612781554784,0.000009,-0.006638,229.198022,0.4288587134490741,false,-0.144352,2020-09-08 07:42:07,24dd5155af
5fea4f1daa,LHS 476 3,Icy body,658,0.6132349490970535,0.792489,7250.4955,46,0.03726040365161609,Thin Neon-rich,Not terraformable,1183.3295640018518,1.3193728105081912,0.000015,-0.107215,189.28701,1.9438729031712962,false,0.210965,2020-09-08 07:42:12,24dd5155af
98850ecf72,LHS 476 4,Icy body,946,0.5309558223310434,0.547229,6475.0015,38,0.0032509495780903034,Thin Neon,Not terraformable,2046.3768116854167,1.9008774674615738,0.002473,0.70528,314.720832,0.9350391648263889,false,0.232801,2020-09-08 07:42:17,24dd5155af
681c2c4b10,LHS 476 5,Icy body,1566,0.8618040914014351,1.838597,9315.872,30,0.38282942418948923,Helium,Not terraformable,4342.160912023611,3.1388291344732355,0.001239,-0.02399,237.050629,1.0575339690740742,false,-0.224032,2020-09-08 07:42:21,24dd5155af
c64ef3e59f,LHS 476 6,Icy body,2371,0.6248755826628692,0.831252,7356.2095,24,0.18430574188995807,Neon-rich,Not terraformable,8014.251581496644,4.722866750017652,0.006584,0.044612,116.296323,1.7547896859837961,false,0.111109,2020-09-08 07:42:43,24dd5155af
5d73bfa053,Caucan 1,High metal content world,388,0.2699378310636704,0.022483,1840.68625,238,0,No atmosphere,Not terraformable,266.5550206546412,0.7776414329074405,0.000183,0.063565,88.463917,1.495702153287037,false,-0.506549,2020-09-08 13:31:42,69eb6b5d04
56c10d8c0e,Caucan 2,High metal content world,587,0.3225409619373459,0.03735,2170.388,193,0,No atmosphere,Not terraformable,495.9580798943866,1.1763902690017365,0.000314,0.017723,218.509284,1.9543321850694446,false,0.003315,2020-09-06 12:22:23,69eb6b5d04
e0cf0cebbf,Caucan 3,High metal content world,1036,0.47773480748197594,0.111764,3084.90675,230,0.622115562546262,Carbon dioxide,Not terraformable,1162.889448029051,2.0762535624937204,0.000359,-0.088991,308.233829,0.4706104622800926,false,-2.646586,2020-09-05 16:14:59,69eb6b5d04
