id,name,type,age,spectralClass,luminosity,absoluteMagnitude,solarMasses,solarRadius,surfaceTemperature,rotationalPeriod,updateTime
50c6428f42,Austern A,M (Red dwarf) Star,692,M1,V,10.718704,0.445313,0.5946655010783609,3458,1.9909355188773148,2020-09-08 15:56:52
64d986e4b4,Austern B,M (Red dwarf) Star,692,M5,Va,9.533112,0.292969,0.5093688684399712,2742,2.273523355798611,2020-09-08 15:56:54
404e86b7c5,Jastreb Sector PT-R b4-8 A,M (Red dwarf) Star,2958,M5,Va,9.784348,0.289063,0.45175170668583753,2748,1.4549639806712962,2020-09-08 00:38:52
3ffeff38c5,Jastreb Sector PT-R b4-8 B,L (Brown dwarf) Star,2958,L7,V,13.930939,0.121094,0.24081417109992811,1449,0.8005620243981483,2020-09-08 00:38:54
d4ac2cecbf,Jastreb Sector PT-R b4-8 C,L (Brown dwarf) Star,2958,L8,V,13.781906,0.121094,0.28271482386772107,1384,1.1377220682407407,2020-09-08 00:38:54
960cb776a9,LFT 1454 A,M (Red dwarf) Star,7924,M4,V,9.071121,0.351563,0.5307922127965492,2986,1.9900097376736112,2020-09-08 02:09:25
92f8393223,LFT 1454 B,L (Brown dwarf) Star,7924,L3,V,12.602921,0.15625,0.31100461826024445,1731,1.1393077116898147,2020-09-07 21:42:46
ee3d994812,LFT 1454 C,L (Brown dwarf) Star,7924,L5,V,12.837997,0.136719,0.31207274191229334,1637,1.0971576851041667,2020-09-07 21:42:46
66deb7acf5,LFT 1454 D,T (Brown dwarf) Star,7924,T5,V,16.534698,0.058594,0.16305541337167506,967,0.6157476012847222,2020-09-07 21:42:46
24dd5155af,LHS 476,M (Red dwarf) Star,11652,M8,V,11.03212,0.21875,0.3961486815240834,2201,1.3701572602662038,2020-07-12 17:49:24
f7b6bdfa17,DN Draconis,T (Brown dwarf) Star,7364,T5,V,12.224762,0.082031,0.17065429762760603,962,0.5910140555787037,2020-08-17 04:45:02
c47f507db5,LHS 465 A,M (Red dwarf) Star,9458,M6,V,9.795441,0.300781,0.4754333170381021,2671,2.662261959108796,2020-09-08 12:05:33
19bec7a363,LHS 465 B,L (Brown dwarf) Star,9458,L0,V,11.781326,0.191406,0.34350585190510424,1990,1.4300162673958334,2020-09-07 20:52:17
2f49db3c4e,LHS 465 C,L (Brown dwarf) Star,9458,L7,V,13.787613,0.101563,0.2558288425593098,1453,0.881469689212963,2020-09-07 20:52:17
1f31cd925c,LHS 465 D,T (Brown dwarf) Star,9458,T6,V,16.550018,0.054688,0.17810056649892164,922,0.5652567791203704,2020-09-07 20:52:17
69eb6b5d04,Caucan,K (Yellow-Orange) Star,6470,K1,Va,5.589767,0.882813,0.9285888368080517,5034,3.4340101222916664,2020-08-31 11:56:58
ffc2d4c242,Core Sys Sector CL-Y c24,K (Yellow-Orange) Star,6576,K4,Va,6.329269,0.773438,0.833007804457225,4483,3.4540407494444447,2020-07-04 05:28:01
e11def4540,Wolf 1340 A,M (Red dwarf) Star,11228,M1,V,9.233795,0.421875,0.5747680345075485,3371,2.453100506226852,2020-09-08 13:13:19
cd543d5fb0,Wolf 1340 B,L (Brown dwarf) Star,11228,L5,V,12.876663,0.136719,0.3021240316319195,1649,1.3900109980324074,2020-09-08 13:13:21
9a7e84b295,Jastreb Sector PT-R b4-7,M (Red dwarf) Star,6208,M9,VI,11.667114,0.210938,0.3482665823148814,2029,1.4783754370023148,2020-09-08 01:19:08
2173b7b26b,LHS 3558 A,M (Red dwarf) Star,2868,M2,V,11.1297,0.421875,0.5912475053918045,3320,1.9831387734027777,2020-09-08 03:41:35
7b73bafdf7,LHS 3558 B,M (Red dwarf) Star,2868,M9,VI,11.518967,0.191406,0.3578796261682243,2071,1.4404449445023149,2020-09-08 03:41:38
